"sku","title","image","url","platform","connect","price","num","query"
"14074213","【HyRead】 Pro Note C 7.8吋彩色電子紙閱讀器殼套組","https://i3.momoshop.com.tw/1751273948/goodsimg/0014/074/213/14074213_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14074213&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","15388.00","1","reader"
"12697413","【HyRead】Gaze Mini+ 6吋電子紙閱讀器","https://i4.momoshop.com.tw/1756720166/goodsimg/0012/697/413/12697413_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12697413&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","6990.00","9","reader"
"13683196","【HyRead】Gaze Pro Note C 7.8吋彩色電子紙閱讀器","https://i1.momoshop.com.tw/1758536606/goodsimg/0013/683/196/13683196_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13683196&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","15390.00","1","reader"
"13985433","【BOOX 文石】Go Color 7 Gen II 彩色電子閱讀器","https://i1.momoshop.com.tw/1748485666/goodsimg/0013/985/433/13985433_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13985433&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","8280.00","2","reader"
"13456911","【BOOX 文石】Palma2 6.13 吋電子閱讀器","https://i3.momoshop.com.tw/1747890132/goodsimg/0013/456/911/13456911_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13456911&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","7280.00","3","reader"
"13715487","【BOOX 文石】Go 6 吋電子閱讀器(白色)","https://i2.momoshop.com.tw/1747890127/goodsimg/0013/715/487/13715487_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13715487&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","4880.00","2","reader"
"13456898","【BOOX 文石】Palma2 6.13 吋電子閱讀器","https://i1.momoshop.com.tw/1752229645/goodsimg/0013/456/898/13456898_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13456898&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","7280.00","3","reader"
"14212384","【MEEBOOK】M8 7.8 吋電子閱讀器(白色)","https://i4.momoshop.com.tw/1752233314/goodsimg/0014/212/384/14212384_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14212384&Area=search&mdiv=403&oid=1_13&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","8699.00","2","reader"
"14110887","【HyRead】Gaze Mini+ 6吋電子紙閱讀器(石墨綠)","https://i2.momoshop.com.tw/1749740478/goodsimg/0014/110/887/14110887_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14110887&Area=search&mdiv=403&oid=1_14&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","6990.00","8","reader"
"13715495","【BOOX 文石】Go 6 吋電子閱讀器(白色)","https://i3.momoshop.com.tw/1747890128/goodsimg/0013/715/495/13715495_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13715495&Area=search&mdiv=403&oid=1_15&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","4880.00","4","reader"
"12033444","【MEEBOOK】M7 6.8 吋電子閱讀器","https://i3.momoshop.com.tw/1714642902/goodsimg/0012/033/444/12033444_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12033444&Area=search&mdiv=403&oid=1_16&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","5499.00","2","reader"
"14119356","【Pubu】Pubook 2 7.8吋彩色閱讀器","https://i3.momoshop.com.tw/1756777943/goodsimg/0014/119/356/14119356_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14119356&Area=search&mdiv=403&oid=1_17&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","13980.00","1","reader"
"14039748","【BOOX 文石】Go 7 吋電子閱讀器(白色)","https://i3.momoshop.com.tw/1747817771/goodsimg/0014/039/748/14039748_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14039748&Area=search&mdiv=403&oid=1_18&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","7280.00","4","reader"
"13788203","【HyRead】Gaze Mini+ 6吋電子紙閱讀器(淺蔥青)","https://i1.momoshop.com.tw/1756720166/goodsimg/0013/788/203/13788203_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13788203&Area=search&mdiv=403&oid=1_20&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","6990.00","8","reader"
"14039744","【BOOX 文石】Go 7 吋電子閱讀器(白色)","https://i3.momoshop.com.tw/1751270278/goodsimg/0014/039/744/14039744_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14039744&Area=search&mdiv=403&oid=1_22&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","7280.00","4","reader"
"14022101","【HyRead】Gaze Mini+ 6吋電子紙閱讀器(櫻花粉)","https://i3.momoshop.com.tw/1756720165/goodsimg/0014/022/101/14022101_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14022101&Area=search&mdiv=403&oid=1_24&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","7290.00","8","reader"
"12033456","【MEEBOOK】M7 6.8 吋電子閱讀器","https://i1.momoshop.com.tw/1704276631/goodsimg/0012/033/456/12033456_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12033456&Area=search&mdiv=403&oid=1_26&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","5499.00","2","reader"
"13028810","【BOOX 文石】Go 10.3 吋電子閱讀器(白色)","https://i2.momoshop.com.tw/1747890078/goodsimg/0013/028/810/13028810_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13028810&Area=search&mdiv=403&oid=1_27&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","12380.00","2","reader"
"14074207","【HyRead】收納保護套優惠組 Gaze Mini+ 6吋閱讀器 (經典白)+收納保護套霧黑色","https://i2.momoshop.com.tw/1751018440/goodsimg/0014/074/207/14074207_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14074207&Area=search&mdiv=403&oid=2_1&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","7188.00","8","reader"
"14212378","【MEEBOOK】M6C 6 吋彩色電子閱讀器","https://i3.momoshop.com.tw/1752233291/goodsimg/0014/212/378/14212378_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14212378&Area=search&mdiv=403&oid=2_3&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","5980.00","2","reader"
"13215591","【BOOX 文石】Go 6 吋電子閱讀器(黑色)","https://i1.momoshop.com.tw/1747890129/goodsimg/0013/215/591/13215591_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13215591&Area=search&mdiv=403&oid=2_5&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","4880.00","4","reader"
"13883464","【BOOX 文石】Go 10.3 吋電子閱讀器(原廠皮套組)","https://i2.momoshop.com.tw/1745470943/goodsimg/0013/883/464/13883464_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13883464&Area=search&mdiv=403&oid=2_8&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","12999.00","2","reader"
"13948259","【BOOX 文石】Go 7 吋電子閱讀器(黑色)","https://i1.momoshop.com.tw/1751270279/goodsimg/0013/948/259/13948259_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13948259&Area=search&mdiv=403&oid=2_10&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","7280.00","4","reader"
"14127605","【Amazon】7吋 Kindle paperwhite 6 亞馬遜電子書閱讀器 32GB(IPX8防水/高清電子墨水螢幕)","https://i4.momoshop.com.tw/1750154148/goodsimg/0014/127/605/14127605_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14127605&Area=search&mdiv=403&oid=2_13&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","12490.00","1","reader"
"14212385","【MEEBOOK】M8C 7.8 吋彩色電子閱讀器觸控筆套組(黑色)","https://i4.momoshop.com.tw/1755152597/goodsimg/0014/212/385/14212385_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=14212385&Area=search&mdiv=403&oid=2_14&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","11980.00","2","reader"
"13988340","【BOOX 文石】Go Color 7 Gen II 彩色電子閱讀器","https://i4.momoshop.com.tw/1748485660/goodsimg/0013/988/340/13988340_OR_m.webp","https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13988340&Area=search&mdiv=403&oid=2_15&cid=index&kw=%E9%96%B1%E8%AE%80%E5%99%A8","momo","root","8280.00","2","reader"
